,age_group,gender,location,italian_region,travel_purpose,touristic_travel_freq,traveler_type,trip_org,trip_ideas_source,weekend_distance,historic_importance,arch_interest,restaurant_reviews_importance,food_activities_interest,attr_public_transport,attr_prices,attr_accommodation,attr_food,attr_history,attr_events,attr_landscape,attr_tourist_packs,week_trip_budget,night_accommodation_budget,discount_importance,guided_tours_importance,offseason_interest,private_transport_pref,public_transport_importance,max_transport,wine_cheap,wine_good,wine_expensive,wine_too_expensive,quintana_cheap,quintana_good,quintana_expensive,quintana_too_expensive,ascoliva_cheap,ascoliva_good,ascoliva_expensive,ascoliva_too_expensive,walking_tour_interest,tour_cheap,tour_good,tour_expensive,tour_too_expensive,rating_ascoli,rating_siena,rating_lucca,rating_pisa,rating_venezia,food_ascoli,food_siena,food_lucca,food_pisa,food_venezia,events_ascoli,events_siena,events_lucca,events_pisa,events_venezia
11,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,1,Solo Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),3,Castles and fortifications,3,No,1,3,2,5,8,7,6,4,500-2000,150-400,3,1,Yes,No,3.0,3,50,50,150,100,50,100,150,150,30.0,50.0,100,150.0,No,,,,,1,3,5,4,2,4,3,1,2,5,1,2,3,4,5
12,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,>5,Solo Traveler;Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),4,Public squares;Castles and fortifications;Bridges,4,Yes,7,3,2,4,6,5,1,8,500-2000,50-150,4,2,Yes,No,5.0,2,30,50,70,100,40,60,90,110,30.0,50.0,65,80.0,No,,,,,5,4,3,2,1,4,3,1,2,5,5,4,3,1,2
13,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,4,Solo Traveler;Family Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia);TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),4,Religious sites;Public squares;Castles and fortifications,2,Yes,3,1,2,5,4,6,7,8,<500,<50,4,3,Yes,No,5.0,3,5,25,50,70,2,10,18,40,4.0,12.0,20,45.0,Yes,2.0,6.0,14.0,30.0,3,5,4,2,1,2,3,1,4,5,3,4,2,5,1
14,>55,Female,South America,,Tourism,2,Family Traveler,Through a travel agency or tour operator,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia);Magazines or books",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites;Castles and fortifications;Bridges,3,Yes,5,1,2,4,3,6,7,8,<500,50-150,5,2,Yes,Yes,5.0,2,80,50,200,500,50,100,150,200,50.0,100.0,150,200.0,Yes,10.0,15.0,50.0,100.0,2,4,3,5,1,1,3,2,4,5,5,4,2,3,1
15,18-25,Female,South America,,Tourism,1,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;TV shows, movies, or documentaries",300–500 km (Approx. 3 to 5 hours by car),3,Religious sites;Castles and fortifications,3,Yes,7,1,6,5,8,2,4,3,<500,50-150,2,4,Yes,Yes,,2,50,100,250,400,10,100,150,200,20.0,100.0,200,250.0,Yes,10.0,50.0,150.0,200.0,3,4,2,5,1,2,4,1,3,5,3,5,2,4,1
16,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,3,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",< 100 km (Approx. 1 hour or less by car),5,Castles and fortifications;Bridges,5,Yes,2,1,5,7,4,6,3,8,<500,<50,5,2,Yes,Yes,,3,15,20,25,30,15,25,30,35,10.0,20.0,30,40.0,Yes,5.0,10.0,15.0,20.0,2,3,5,4,1,3,1,2,5,4,5,1,2,3,4
17,46-55,Male,South America,,Tourism,2,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",300–500 km (Approx. 3 to 5 hours by car),3,Public squares;Castles and fortifications;Bridges;Ports,3,No,7,2,1,3,4,8,5,6,500-2000,50-150,4,3,No,Yes,,1,10,20,30,40,25,35,45,60,35.0,40.0,45,60.0,Yes,10.0,15.0,20.0,25.0,4,2,5,3,1,5,3,4,2,1,5,3,4,2,1
18,46-55,Female,South America,,Tourism,3,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",300–500 km (Approx. 3 to 5 hours by car),4,Religious sites;Public squares;Castles and fortifications,3,Yes,6,3,7,2,1,8,4,5,500-2000,150-400,5,3,Yes,No,5.0,3,15,20,50,100,20,30,200,300,20.0,30.0,50,200.0,Yes,5.0,10.0,50.0,70.0,3,2,1,5,4,1,2,3,4,5,2,4,3,1,5
19,>55,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Business,3,Solo Traveler;Family Traveler;Couple Traveler,I plan and book everything myself,"Travel blogs or websites;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia);TV shows, movies, or documentaries;Magazines or books",100–300 km (Approx. 1.5 to 3 hours by car),4,Public squares;Castles and fortifications;Bridges,4,Yes,3,2,1,4,6,7,5,8,2000-4000,50-150,3,3,Yes,Yes,5.0,1,50,70,100,120,100,150,200,250,50.0,70.0,100,120.0,Yes,25.0,50.0,70.0,100.0,5,3,2,4,1,1,5,3,4,2,2,1,3,5,4
20,>55,Male,Europe,,Visiting family/friends,0,Solo Traveler,I plan and book everything myself,Recommendations from friends or family,300–500 km (Approx. 3 to 5 hours by car),3,Castles and fortifications,2,No,2,1,3,4,5,8,6,7,500-2000,50-150,4,2,Yes,No,4.0,1,10,20,25,30,10,20,40,50,15.0,20.0,30,45.0,Yes,5.0,12.0,20.0,30.0,3,2,4,5,1,1,2,4,3,5,2,1,4,3,5
21,26-35,Male,South America,,Tourism,1,Family Traveler;Couple Traveler,I plan and book everything myself,Recommendations from friends or family,300–500 km (Approx. 3 to 5 hours by car),3,Religious sites;Castles and fortifications;Bridges,5,Yes,5,8,7,6,3,1,4,2,500-2000,50-150,4,2,Yes,Yes,,2,20,60,100,150,20,30,40,60,30.0,40.0,60,70.0,No,,,,,5,2,4,3,1,3,2,1,4,5,4,3,1,2,5
22,26-35,Female,South America,,Tourism,2,Family Traveler,I plan and book everything myself,"Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),4,Public squares;Castles and fortifications;Bridges;Ports,3,Yes,6,2,3,1,7,4,8,5,500-2000,50-150,3,4,Yes,No,5.0,1,15,25,50,100,10,20,50,50,10.0,20.0,30,50.0,Yes,5.0,10.0,20.0,20.0,5,4,3,2,1,2,3,1,4,5,5,4,3,2,1
23,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;Chat gpt",300–500 km (Approx. 3 to 5 hours by car),4,Religious sites;Castles and fortifications,3,Yes,2,3,1,4,5,7,6,8,<500,50-150,3,2,Yes,Yes,5.0,3,2,15,30,60,5,20,35,60,2.0,17.0,30,50.0,Yes,1.0,5.0,20.0,35.0,4,3,5,2,1,2,5,3,4,1,2,3,5,4,1
24,26-35,Male,Asia,,Tourism,3,Group Traveler,Relying on recommendations from friends/family,Recommendations from friends or family,100–300 km (Approx. 1.5 to 3 hours by car),2,Castles and fortifications;Bridges,4,Yes,4,3,1,5,6,2,7,8,500-2000,50-150,2,2,Yes,Yes,4.0,2,15,30,70,100,20,35,60,100,10.0,25.0,35,50.0,No,,,,,5,3,4,2,1,5,3,1,2,4,4,5,1,3,2
25,18-25,Male,Asia,,Tourism,1,Group Traveler,Through a travel agency or tour operator,Recommendations from friends or family,100–300 km (Approx. 1.5 to 3 hours by car),3,Public squares;Bridges,4,Yes,6,1,8,2,5,3,7,4,500-2000,50-150,4,3,Yes,Yes,1.0,1,50,100,150,200,20,50,100,150,20.0,50.0,100,150.0,No,,,,,5,4,3,1,2,3,4,2,1,5,2,1,4,3,5
26,18-25,Male,Asia,,Tourism,>5,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest)",< 100 km (Approx. 1 hour or less by car),4,Ports,4,Yes,1,4,3,5,2,6,7,8,2000-4000,150-400,4,4,Yes,Yes,4.0,3,100,150,90,1000,200,300,600,100,100.0,100.0,50,60.0,Yes,50.0,60.0,60.0,60.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
27,18-25,Male,Asia,,Tourism,1,Solo Traveler,I plan and book everything myself,Recommendations from friends or family,300–500 km (Approx. 3 to 5 hours by car),5,Public squares,1,Yes,1,2,3,4,5,6,7,8,500-2000,150-400,1,4,Yes,Yes,1.0,>3,50,40,50,50,50,50,100,70,90.0,100.0,50,50.0,No,,,,,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1
28,18-25,Male,Asia,,Tourism,1,Family Traveler;Group Traveler,Through a travel agency or tour operator,"Social media platforms (e.g., Instagram, TikTok, Pinterest)",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites,4,Yes,6,7,8,5,4,3,2,1,<500,400-700,3,3,Yes,Yes,5.0,3,50,100,350,400,50,100,300,400,50.0,100.0,300,400.0,Yes,50.0,150.0,200.0,400.0,5,4,3,2,1,5,4,3,2,1,1,2,4,5,3
29,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Group Traveler,Relying on recommendations from friends/family,Recommendations from friends or family,> 500 km ( > 5 hours by car),5,Castles and fortifications,1,No,3,7,8,5,4,2,6,1,<500,<50,5,1,Yes,No,4.0,>3,25,10,75,75,14,4,26,50,12.0,6.0,30,55.0,Yes,4.0,6.0,15.0,36.0,2,1,3,5,4,2,1,3,4,5,1,2,5,3,4
30,26-35,Male,Africa,,Tourism,0,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),5,Religious sites;Public squares;Castles and fortifications,5,No,3,4,5,8,2,6,7,1,500-2000,150-400,5,5,Yes,Yes,5.0,2,0,1,0,0,1,1,1,1,1.0,1.0,1,1.0,Yes,1.0,1.0,1.0,1.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
31,>55,Male,South America,,Tourism,1,Family Traveler,I plan and book everything myself,"Travel blogs or websites;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",> 500 km ( > 5 hours by car),5,Public squares;Castles and fortifications;Ports,3,Yes,2,7,6,1,3,4,5,8,2000-4000,50-150,3,3,Yes,Yes,3.0,2,100,100,100,50,50,100,100,100,100.0,100.0,100,100.0,Yes,50.0,50.0,50.0,50.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
32,46-55,Female,South America,,Tourism,1,Family Traveler,Relying on recommendations from friends/family,"TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),2,Castles and fortifications,1,Yes,1,3,4,2,5,7,6,8,500-2000,150-400,3,3,Yes,Yes,1.0,1,150,100,100,100,100,100,100,100,100.0,100.0,100,100.0,Yes,100.0,100.0,100.0,100.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
33,26-35,Male,Africa,,Tourism,1,Group Traveler,Relying on recommendations from friends/family,Recommendations from friends or family,> 500 km ( > 5 hours by car),1,Religious sites;Public squares;Castles and fortifications,4,Yes,2,1,3,4,7,6,5,8,<500,50-150,4,3,Yes,Yes,5.0,3,5,20,50,80,50,80,110,150,20.0,50.0,80,110.0,Yes,50.0,80.0,120.0,170.0,5,2,4,3,1,4,3,2,1,5,1,2,3,4,5
34,18-25,Male,Europe,,Tourism,3,Family Traveler;Group Traveler,I plan and book everything myself,"Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),4,Public squares;Castles and fortifications;Bridges,4,No,6,7,8,4,5,2,3,1,<500,<50,3,1,Yes,No,4.0,2,20,40,60,60,0,0,0,0,0.0,0.0,0,0.0,Yes,0.0,10.0,20.0,25.0,2,1,3,4,5,4,5,3,2,1,4,3,5,1,2
35,18-25,Male,Europe,,Tourism,4,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),5,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,3,Yes,8,3,4,5,1,6,2,7,<500,<50,4,4,Yes,No,4.0,2,20,30,50,60,15,20,30,40,10.0,20.0,30,45.0,Yes,5.0,10.0,20.0,25.0,3,4,5,2,1,3,1,2,4,5,3,4,1,2,5
36,26-35,Male,Africa,,I don’t travel,0,Solo Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest)",< 100 km (Approx. 1 hour or less by car),5,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,5,Yes,7,5,4,2,3,1,6,8,500-2000,150-400,5,5,Yes,Yes,5.0,3,10,15,100,150,200,200,300,105,150.0,120.0,100,130.0,Yes,80.0,100.0,120.0,60.0,1,4,2,3,5,1,2,3,4,5,5,4,3,2,1
37,26-35,Male,Europe,,Visiting family/friends,2,Solo Traveler;Family Traveler;Couple Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),4,Religious sites;Castles and fortifications,3,Yes,5,4,1,2,3,7,6,8,500-2000,<50,3,2,Yes,No,4.0,2,20,50,60,70,20,35,50,60,15.0,35.0,50,60.0,Yes,5.0,10.0,15.0,20.0,5,4,3,2,1,2,5,1,4,3,1,3,5,4,2
38,18-25,Male,Europe,,Tourism,1,Family Traveler;Group Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;TV shows, movies, or documentaries;Magazines or books",> 500 km ( > 5 hours by car),3,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,4,Yes,5,7,8,6,1,3,4,2,500-2000,50-150,5,4,Yes,Yes,5.0,2,10,100,200,500,10,50,100,500,10.0,50.0,100,500.0,Yes,5.0,20.0,50.0,100.0,1,4,3,2,5,1,3,5,2,4,1,2,3,4,5
39,46-55,Male,South America,,Education,4,Solo Traveler;Family Traveler,I plan and book everything myself,Travel blogs or websites;Recommendations from friends or family;Travel agencies or brochures,300–500 km (Approx. 3 to 5 hours by car),1,Castles and fortifications,2,No,1,2,3,5,7,8,4,6,500-2000,150-400,5,3,Yes,No,5.0,2,50,150,250,350,20,30,50,100,20.0,40.0,100,150.0,Yes,10.0,25.0,50.0,100.0,3,4,5,2,1,2,5,1,3,4,2,4,3,5,1
40,18-25,Female,Europe,,Tourism,0,Family Traveler;Group Traveler,I plan and book everything myself,"Travel blogs or websites;Recommendations from friends or family;Travel agencies or brochures;TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),1,Castles and fortifications;Bridges;Ports,5,Yes,2,1,3,4,6,7,5,8,500-2000,50-150,5,3,Yes,No,5.0,2,10,30,60,90,5,20,40,70,10.0,25.0,50,60.0,No,,,,,5,4,3,2,1,4,3,1,2,5,3,2,5,4,1
41,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Business,1,Solo Traveler;Group Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),4,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,1,No,4,1,5,2,3,7,6,8,<500,<50,5,1,Yes,No,5.0,2,5,15,30,31,0,2,5,5,0.0,0.0,1,1.0,No,,,,,4,1,3,5,2,4,5,1,2,3,5,2,4,3,1
42,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",I don’t travel,0,Family Traveler;Group Traveler,I plan and book everything myself,"Random Places, Historic or with something that is appealing at a ceratin time or mood.",< 100 km (Approx. 1 hour or less by car),4,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,3,No,1,2,5,3,4,7,6,8,<500,<50,3,2,Yes,No,4.0,2,0,0,20,50,0,5,6,6,0.0,5.0,6,6.0,Yes,5.0,5.0,6.0,6.0,5,4,3,2,1,1,4,3,2,5,5,4,2,3,1
43,18-25,Female,Asia,,Visiting family/friends,2,Solo Traveler;Family Traveler,Relying on recommendations from friends/family,Recommendations from friends or family,< 100 km (Approx. 1 hour or less by car),4,Castles and fortifications,3,Yes,3,1,2,4,7,5,8,6,<500,50-150,5,3,No,Yes,5.0,2,0,0,0,0,0,0,0,0,56.39,33.84,3000,67.68,Yes,2000.0,3000.0,5000.0,5000.0,5,3,4,1,2,5,1,3,4,2,1,2,3,4,5
44,18-25,Male,Asia,,Education,1,Solo Traveler,I plan and book everything myself,Recommendations from friends or family,300–500 km (Approx. 3 to 5 hours by car),3,Religious sites;Public squares,3,No,2,1,3,4,5,8,6,7,2000-4000,400-700,3,2,Yes,No,4.0,2,50,55,70,150,30,50,100,120,10.0,40.0,90,120.0,Yes,30.0,60.0,120.0,150.0,3,1,2,5,4,1,2,3,4,5,5,4,3,2,1
45,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,3,Solo Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites;Castles and fortifications;Ports,5,Yes,1,3,2,4,5,7,6,8,<500,50-150,4,2,Yes,No,5.0,>3,15,25,50,60,10,20,45,60,10.0,20.0,40,60.0,Yes,20.0,30.0,45.0,60.0,5,3,4,2,1,4,3,1,2,5,2,1,3,5,4
46,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,>5,Group Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);My own bucket list or usually depends upon the transport cost",100–300 km (Approx. 1.5 to 3 hours by car),4,Public squares;Castles and fortifications;Bridges;Ports,5,Yes,2,1,3,4,5,7,6,8,<500,<50,5,3,Yes,No,5.0,2,5,25,50,100,10,30,50,100,5.0,20.0,50,100.0,Yes,5.0,15.0,30.0,50.0,2,5,3,4,1,3,1,2,4,5,3,2,4,5,1
